spk;lab;pos;lenSyllxpos;expectedShapes;expectedShape;observedShape;expectedStressPosition;observedStressPosition;expectedIsObserved;globalDeciles;stressSyllableDecile;meanUnstressSyllablesDeciles;F0shape;dBshape;durshape;syllF0;F0Deciles;stressSyllableDecileF0;meanUnstressSyllablesDecilesF0;sylldB;dBDeciles;stressSyllableDeciledB;meanUnstressSyllablesDecilesdB;sylldur;durDeciles;stressSyllableDeciledur;meanUnstressSyllablesDecilesdur;F0min;F0max;F0sd;syllmfa_equals_syllnuclei;startTime;endTime;file;ID
7_8;system;NOUN;2;Oo;Oo;Oo;1;1;1;[46, 32];46;32;oO;Oo;Oo;[101.72281974582924, 108.92241241574384];[41, 62];41;62;[68.41342090866522, 63.10294097821906];[50, 9];50;9;[0.06000500000000386, 0.04000100000000373];[47, 25];47;25;106.09897761988354;111.37589207396304;2.0749271755593908;True;112.050003;112.410004;7_8.TextGrid;qWqAd3H
7_8;capable;ADJ;3;Ooo;Ooo;Ooo;1;1;1;[48, 12, 42.3];48;27.15;ooO;ooO;Ooo;[96.42300782781565, 99.26199249180357, 102.19432224373836];[23, 31, 43];23;37;[68.17276663904353, 51.085845252871614, 71.41625580746022];[48, 0, 83];48;41.5;[0.09000399999999331, 0.02999900000000366, 0.010002000000000066];[73, 5, 1];73;3;101.45943337094002;102.92921111653668;1.0392898107484738;True;112.410004;113.220001;7_8.TextGrid;RdpqDTc
7_8;performing;VERB;3;oOo;oOo;oOo;2;2;1;[26.3, 40.7, 21.7];40.7;24.0;Ooo;oOo;Ooo;[97.3377386640204, 95.46822422811016, 93.81853614179892];[26, 18, 13];18;19.5;[64.14818212561451, 69.59565366101378, 65.82848752974878];[15, 67, 25];67;20;[0.05999699999999564, 0.05000400000000127, 0.04999499999999557];[38, 37, 27];37;32.5;92.28734772179948;94.93898463565644;1.1485601162324695;True;115.089996;115.650002;7_8.TextGrid;fIVykNc
7_8;complex;ADJ;2;Oo/oO;Oo;Oo;1;1;1;[39.7, 23];39.7;23;Oo;oO;Oo;[105.73590389777219, 98.87903841569724];[55, 29];55;29;[64.7249924458804, 67.17213264809712];[17, 37];17;37;[0.06000500000000386, 0.02999899999998945];[47, 3];47;3;96.73958019745056;101.30382024166136;2.295458334654543;False;115.650002;116.279999;7_8.TextGrid;NShJVSs
7_8;environments;NOUN;4;oOoo;oOoo;Oooo;2;1;0;[60.3, 53.3, 40, 11.7];53.3;37.33333333333333;oOoo;Oooo;Oooo;[90.25243933432336, 90.88176889811622, 87.66918840456908, 85.72231572318023];[6, 7, 2, 0];7;2.6666666666666665;[71.83512365987644, 70.56821819815545, 69.27202973469767, 63.25329247071725];[86, 77, 63, 10];77;53;[0.12000299999999697, 0.09999899999999684, 0.0700080000000014, 0.04000100000000373];[89, 76, 55, 25];76;56.333333333333336;85.15673402515652;86.53260151545406;0.5854705893718041;True;118.089996;119.480003;7_8.TextGrid;eU5BAcE
7_8;contribute;VERB;3;oOo;oOo;Ooo;2;1;0;[73.3, 38, 61.7];38;67.5;Ooo;Ooo;ooO;[160.49630389991228, 123.02889768899321, 106.30639175956057];[96, 79, 57];79;76.5;[70.63141742802264, 66.81524296306445, 69.49295179136323];[77, 33, 66];33;71.5;[0.06000500000000386, 0.029998000000006186, 0.08000199999999325];[47, 2, 62];2;54.5;103.82929451301052;110.18918496098112;2.642462936875568;False;120.949997;121.669998;7_8.TextGrid;zNKzLsu
7_8;technological;ADJ;5;ooOoo;ooOoo;ooooO;3;5;0;[23.3, 49.7, 29.3, 32, 50.3];29.3;38.825;ooooO;ooooO;oOooo;[101.48668107914214, 97.24458948416033, 99.8430242915933, 102.63805798888173, 109.15719045130682];[40, 25, 33, 45, 62];33;43;[65.1757695218321, 66.86961346596951, 66.3088090821214, 65.71986732364726, 70.10826144557876];[21, 34, 28, 24, 73];28;38;[0.0300060000000002, 0.12999700000000303, 0.04999499999999557, 0.04999499999999557, 0.04000099999998952];[9, 90, 27, 27, 16];27;35.5;108.45459744146088;110.04096964777082;0.6249480739477765;False;122.190002;123.040001;7_8.TextGrid;3t8iKYW
7_8;advancements;NOUN;3;oOo;oOo;oOo;2;2;1;[37, 58.7, 12];58.7;24.5;Ooo;oOo;oOo;[95.8995055863557, 94.15214104949817, 95.76772351351164];[20, 14, 19];14;19.5;[69.27768467536308, 70.04950371746202, 62.90028911136532];[64, 73, 8];73;36;[0.04999499999999557, 0.12000299999999697, 0.030006999999997674];[27, 89, 9];89;18;95.69074636498425;95.84470066203905;0.06625138095225415;False;123.040001;124.019997;7_8.TextGrid;K25KjIq
7_8;empower;NOUN;3;oOo;oOo;ooO;2;3;0;[44.7, 68.7, 88.7];68.7;66.7;ooO;ooO;ooO;[102.83284311746961, 105.70419207402756, 266.884863504288];[45, 55, 99];55;72;[65.72069577256597, 69.7783355572467, 69.82972621093917];[24, 69, 70];69;47;[0.0899959999999993, 0.1100009999999969, 0.1900020000000069];[65, 82, 97];82;81;105.71668258157918;501.1744447007912;160.0218547102212;False;124.660004;125.300003;7_8.TextGrid;kiFMVLo
7_8;ai;VERB;2;OO;OO;Oo;1;1;0;[78.3, 35];78.3;35;Oo;Oo;Oo;[126.61437959850093, 100.16231979469303];[84, 34];84;34;[68.62740515824909, 67.22988089349475];[53, 37];53;37;[0.22999599999999987, 0.050002999999989584];[98, 34];98;34;99.58178377857652;100.48548277388424;0.3204481678462077;False;125.300003;125.580002;7_8.TextGrid;LKGKBGf
7_8;external;ADJ;3;oOo;oOo;oOo;2;2;1;[69.3, 75, 61.7];75;65.5;Ooo;oOo;oOo;[151.60679989719318, 118.14949150598476, 120.42374623886185];[94, 74, 76];74;85;[68.18377767135864, 68.98985375770856, 67.8767212765209];[48, 59, 44];59;46;[0.08999699999999677, 0.13000499999999704, 0.0899959999999993];[66, 92, 65];92;65.5;118.02816813954466;121.99244120470043;1.4728057076591992;False;127.440002;128.020004;7_8.TextGrid;MGAdgi4
7_8;exhibit;VERB;3;oOo;oOo;oOo;2;2;1;[11.7, 40, 33];40;22.35;oOo;oOo;ooO;[94.34443405560641, 102.31299163621786, 96.16309008697573];[15, 44, 21];44;18;[63.10883288050606, 68.41437573292701, 67.50833914955288];[10, 51, 41];51;25.5;[0.03999400000000719, 0.049988000000013244, 0.050003000000003794];[10, 25, 37];25;23.5;82.55638110435062;99.74937181445485;6.804286568912243;False;128.740005;129.199997;7_8.TextGrid;bURln56
7_8;intelligent;ADJ;4;oOoo;oOoo;Oooo;2;1;0;[48.3, 23.3, 33, 20.7];23.3;34.0;Oooo;Oooo;ooOo;[124.05868461039287, 111.94997801330598, 99.3001213639457, 102.17987671389518];[81, 67, 32, 43];67;52;[67.37815815918405, 58.59523298451108, 66.47681772462926, 63.67207816888664];[39, 2, 30, 14];2;27.666666666666668;[0.040008000000000266, 0.029997999999977765, 0.050003000000003794, 0.02999900000000366];[25, 1, 37, 5];1;22.333333333333332;100.78871942914496;103.24826616435844;1.2611410871954587;False;129.429993;129.979996;7_8.TextGrid;m6ou55i
7_8;behavior;NOUN;3;oOo;oOo;oOo;2;2;1;[13, 36, 33];36;23;Ooo;oOo;ooO;[93.74285246963437, 91.2311406419953, 90.9363159588236];[13, 8, 7];8;10;[64.55101987655445, 64.80183584633404, 60.95910290539548];[16, 17, 3];17;9.5;[0.03999400000000719, 0.11000100000001112, 0.12998900000002322];[10, 83, 89];83;49.5;82.40212342509845;95.40584834921897;3.102961091925333;True;129.979996;130.589996;7_8.TextGrid;QUdcsCP
